;Alteração de nomenclatura;;;;;;;;;;;;;;;;;;;;
;Variável nova;;;;;;;;;;;;;;;;;;;;
;Descontinuidade;;;;;;;;;;;;;;;;;;;;
73;QT_MAT_FEM;Quantidade de matrículas do sexo feminino;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
74;QT_MAT_MASC;Quantidade de matrículas do sexo masculino;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
75;QT_MAT_DIURNO;Quantidade de matrículas - turno diurno;Num;8;(.) Não aplicável (Curso a distância);;s;s;s;s;s;s;s;s;s;s;s;s;;;
76;QT_MAT_NOTURNO;Quantidade de matrículas - turno noturno;Num;8;(.) Não aplicável (Curso a distância);;s;s;s;s;s;s;s;s;s;s;s;s;;;
77;QT_MAT_0_17;Quantidade de matrículas - Até 17 anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
78;QT_MAT_18_24;Quantidade de matrículas - De 18 a 24 anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
79;QT_MAT_25_29;Quantidade de matrículas - De 25 a 29 anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
80;QT_MAT_30_34;Quantidade de matrículas - De 30 a 34 anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
81;QT_MAT_35_39;Quantidade de matrículas - De 35 a 39 anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
82;QT_MAT_40_49;Quantidade de matrículas - De 40 a 49 anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
83;QT_MAT_50_59;Quantidade de matrículas - De 50 a 59 anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
84;QT_MAT_60_MAIS;Quantidade de matrículas - De 60 ou mais anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
85;QT_MAT_BRANCA;Quantidade de matrículas - Cor/Raça Branca;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
86;QT_MAT_PRETA;Quantidade de matrículas - Cor/Raça Preta;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
87;QT_MAT_PARDA;Quantidade de matrículas - Cor/Raça Parda;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
88;QT_MAT_AMARELA;Quantidade de matrículas - Cor/Raça Amarela;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
89;QT_MAT_INDIGENA;Quantidade de matrículas - Cor/Raça Indígena;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
90;QT_MAT_CORND;Quantidade de matrículas - Cor/Raça Não Declarada;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
91;QT_CONC;Quantidade de concluintes;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
92;QT_CONC_FEM;Quantidade de concluintes do sexo feminino;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
93;QT_CONC_MASC;Quantidade de concluintes do sexo masculino;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
94;QT_CONC_DIURNO;Quantidade de concluintes - turno diurno;Num;8;(.) Não aplicável (Curso a distância);;s;s;s;s;s;s;s;s;s;s;s;s;;;
95;QT_CONC_NOTURNO;Quantidade de concluintes - turno noturno;Num;8;(.) Não aplicável (Curso a distância);;s;s;s;s;s;s;s;s;s;s;s;s;;;
96;QT_CONC_0_17;Quantidade de concluintes - Até 17 anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
97;QT_CONC_18_24;Quantidade de concluintes - De 18 a 24 anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
98;QT_CONC_25_29;Quantidade de concluintes - De 25 a 29 anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
99;QT_CONC_30_34;Quantidade de concluintes - De 30 a 34 anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
